transcript_Id,Interviewer,Child,Sentiment (window size 7 / 0.4 threshold)
NA0098-PC,YOUR COUSIN,He's 12 and he has blond hair and he's my only cousin,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin"", 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.5033506155014038, 0.24636393785476685, 0.14925456047058105, 0.10103090107440948]}"
NA0098-PC,OKAY WHAT SORT OF THINGS DO YOU LIKE TO DO WITH YOUR COUSIN,Sometimes I stay at his house,"{'sequence': 'Sometimes I stay at his house', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.40185922384262085, 0.22650805115699768, 0.19242802262306213, 0.17920465767383575]}"
NA0098-PC,OKAY,And sometimes we play on the computer,"{'sequence': 'And sometimes we play on the computer', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.4920666515827179, 0.1767348349094391, 0.1697823405265808, 0.1614161878824234]}"
NA0098-PC,OKAY TELL ME ALL ABOUT STAYING AT YOUR COUSIN’S HOUSE,He has a single bed and I stay on the blow-up mattress,"{'sequence': 'And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3923189640045166, 0.2653436064720154, 0.17574208974838257, 0.16659538447856903]}"
NA0098-PC,OKAY AND YOU STAY ON THE BLOW-UP MATTRESS OKAY TELL ME ABOUT THE LAST TIME YU STAYED AT YOUR COUSIN’S HOUSE,He woke me up in the middle of the night,"{'sequence': 'And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress. He woke me up in the middle of the night', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.31174471974372864, 0.29291388392448425, 0.20881520211696625, 0.18652614951133728]}"
NA0098-PC,SORRY HE WOKE YOU UP IN THE MIDDLE OF THE NIGHT,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0098-PC,YEAH OKAY AND WHAT HAPPENED,And then he pulled my pants down,"{'sequence': 'Yeah. And then he pulled my pants down', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.27750295400619507, 0.26881587505340576, 0.23368597030639648, 0.21999529004096985]}"
NA0020-PC,OKAY AND WHAT HAPPENED NEXT,And then he showed me some rude people on the computer,"{'sequence': 'And then he showed me some rude people on the computer', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.38351622223854065, 0.2839704751968384, 0.23604115843772888, 0.09647221118211746]}"
NA0020-PC,ON THE COMPUTER YEAH,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0020-PC,OKAY AND THIS IS IN THE LOUNGE ROOM OF HIS HOUSE,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0020-PC,OKAY WHEN YOU SAY SOME RUDE PEOPLE WHAT WERE THE PICTURES,Naked people,"{'sequence': 'Yeah. Naked people', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3660575747489929, 0.26956072449684143, 0.20329806208610535, 0.16108360886573792]}"
NA0020-PC,NAKED AND WHAT WERE THEY DOING,Touching each other's privates,"{'sequence': ""Touching each other's privates"", 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.44865942001342773, 0.22458143532276154, 0.2196710705757141, 0.10708807408809662]}"
NA0020-PC,OKAY SO LET ME JUST GO OVER WHAT YOU TOLD ME YOU SAID THAT YOU WERE IN HIS LOUNGE ROOM AND YOU WERE HE WAS ON HIS COMPUTER AND WHERE WERE YOU SITTING,I wasn't sitting,"{'sequence': ""Touching each other's privates. I wasn't sitting"", 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.40341219305992126, 0.23286503553390503, 0.2117832452058792, 0.15193955600261688]}"
NA0020-PC,OKAY SO WHERE WERE YOU WHEN HE WAS ON HIS COMPUTER WHERE WERE YOU,Standing next to him,"{'sequence': ""Touching each other's privates. I wasn't sitting. Standing next to him"", 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3375546336174011, 0.23510511219501495, 0.2207094430923462, 0.20663076639175415]}"
NA0016-M6,HM-HM,And he was angry because his dinner was cold,"{'sequence': 'And he was angry because his dinner was cold', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.9568806886672974, 0.02238970622420311, 0.016419626772403717, 0.004309996031224728]}"
NA0016-M6,WHAT HAPPENED THEN,Then he just was throwing his spaghetti at the wall and the plate smashed everywhere,"{'sequence': 'And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.5133775472640991, 0.2243940383195877, 0.21191880106925964, 0.05030960962176323]}"
NA0016-M6,THE PLATE SMASHED EVERYWHERE,Yeah and it made this big red mark on the wall,"{'sequence': 'And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere. Yeah and it made this big red mark on the wall', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.6093522310256958, 0.20205889642238617, 0.12489515542984009, 0.06369371712207794]}"
NA0016-M6,HM WHAT ELSE HAPPENED,Then that was when he was just being nasty and saying mean things,"{'sequence': 'And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere. Yeah and it made this big red mark on the wall. Then that was when he was just being nasty and saying mean things', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.9870290160179138, 0.00785322580486536, 0.004363177344202995, 0.0007545613334514201]}"
NA0016-M6,HM-HM,And that was the part where he hurt Mum,"{'sequence': 'And that was the part where he hurt Mum', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.4116065502166748, 0.27839717268943787, 0.21525447070598602, 0.0947418063879013]}"
NA0016-M6,TELL ME MORE ABOUT THE PART WHERE HE’S HURT YOUR MUM,He just hurt her and she fell down on the ground,"{'sequence': 'He just hurt her and she fell down on the ground', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.4268536865711212, 0.2801983654499054, 0.23116075992584229, 0.06178722530603409]}"
NA0016-M6,HM-HM,And she wasn't moving,"{'sequence': ""He just hurt her and she fell down on the ground. And she wasn't moving"", 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.35279184579849243, 0.2996583878993988, 0.29383164644241333, 0.05371809005737305]}"
NA0072-PC ,OKAY YOU SAID THAT THAT HAPPENED MORE THAN ONE TIME DID IT HAPPEN MORE THAN ONE TIME ON DIFFERENT DAYS OR MORE THAN ONE TIME ON THE SAME DAY,On different days,"{'sequence': 'On different days', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.42854344844818115, 0.27070364356040955, 0.169566348195076, 0.1311865597963333]}"
NA0072-PC ,OKAY TELL ME ABOUT ANOTHER TIME THAT YOU CAN REMEMBER,I woke up and his dirty spot was in his hand and then we heard a noise,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.27320536971092224, 0.266354501247406, 0.24732299149036407, 0.21311719715595245]}"
NA0072-PC ,OKAY AND THEN WHAT HAPPENED,And then he got into bed,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.2898155152797699, 0.27439063787460327, 0.2578280568122864, 0.17796579003334045]}"
NA0072-PC ,HM-HM TELL ME ABOUT THE PART WHERE YOU SAID YOU HEARD A NOISE,We heard a noise and I think it was my aunty and uncle going to bed,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed. We heard a noise and I think it was my aunty and uncle going to bed', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.279534250497818, 0.24317054450511932, 0.24046345055103302, 0.23683172464370728]}"
NA0072-PC ,HM-HM AND DOES ANYONE ELSE APART FROM MUM KNOW THAT CALLUM HAD PUT HIS DIRTY SPOT IN YOUR BOTTOM,No,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed. We heard a noise and I think it was my aunty and uncle going to bed. No', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.26098066568374634, 0.2584567666053772, 0.24328921735286713, 0.23727335035800934]}"
NA0072-PC ,OKAY SO WHERE WERE YOUR AUNTY AND UNCLE WHEN CALLUM PUT HIS DIRTY SPOT IN YOUR BOTTOM,I think they were asleep,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed. We heard a noise and I think it was my aunty and uncle going to bed. No. I think they were asleep', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.2656604051589966, 0.26324188709259033, 0.24207144975662231, 0.22902625799179077]}"
NA0072-PC ,OKAY AND HAS CALLUM EVER SAID ANYTHING TO YOU ABOUT PUTTING HIS DIRTY SPOT IN YOUR BOTTOM,No,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed. We heard a noise and I think it was my aunty and uncle going to bed. No. I think they were asleep. No', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.2638356387615204, 0.25611400604248047, 0.24104230105876923, 0.2390080690383911]}"
NA0085-PC,UP TO YOUR CHIN ALL RIGHT SO TELL ME ABOUT THE BIT WHEN HE TICKLES YOUR MINI HOW LONG DOES HE DO THIS FOR,A long time,"{'sequence': 'A long time', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3978901505470276, 0.2767443358898163, 0.18834078311920166, 0.13702470064163208]}"
NA0085-PC,A LONG TIME WHAT DOES IT FEEL LIKE,A bit yucky,"{'sequence': 'A bit yucky', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.8976619839668274, 0.046364665031433105, 0.028494717553257942, 0.027478646486997604]}"
NA0085-PC,OKAY ALL RIGHT WHEN THIS HAPPENS WHERE’S MUM,She's at work,"{'sequence': ""A bit yucky. She's at work"", 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.7781558632850647, 0.08871936053037643, 0.0718403160572052, 0.06128448620438576]}"
NA0085-PC,HM-HM I WANT TO FIND OUT A BIT MORE ABOUT WHERE THIS HAPPENED WHERE DO YOU HAVE YOUR BATH,In the bathroom in the big one,"{'sequence': 'In the bathroom in the big one', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4230823516845703, 0.22123901546001434, 0.20463594794273376, 0.15104268491268158]}"
NA0085-PC,IN THE BIG BATHROOM OKAY SO I KNOW A LITTLE BIT ABOUT YOUR FAMILY BUT CAN YOU TELL ME A BIT MORE ABOUT YOUR FAMILY I KNOW YOU’VE GOT A MUM AND STEPHEN CAN YOU TELL ME MORE ABOUT YOUR FAMILY,Yes,"{'sequence': 'Yes', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4178420305252075, 0.24204954504966736, 0.1992567777633667, 0.14085158705711365]}"
NA0085-PC,TELL ME WHO’S IN YOUR FAMILY,My real dad but he doesn't live with us and then we have one dog,"{'sequence': ""Yes. My real dad but he doesn't live with us and then we have one dog"", 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.29320964217185974, 0.27966001629829407, 0.2213216871023178, 0.20580856502056122]}"
NA0085-PC,OH OKAY SO THERE’S MUM AND STEPHEN AND YOU HAVE ONE DOG,Hm-hm,"{'sequence': ""Yes. My real dad but he doesn't live with us and then we have one dog. Hm-hm"", 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3153727948665619, 0.28781750798225403, 0.20257163047790527, 0.1942381113767624]}"
NA0023-PC,OKAY SO WHEN YOU SAY HE WIPED CAN YOU DESCRIBE TO ME HOW HE DID THAT,He just wiped the wee,"{'sequence': 'He just wiped the wee', 'labels': ['sadness', 'anger', 'enjoyment', 'fear'], 'scores': [0.339108943939209, 0.2810375690460205, 0.23494991660118103, 0.14490357041358948]}"
NA0023-PC,HM-HM DID HE USE ANYTHING,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0023-PC,WHAT WAS THAT,Just his fingers,"{'sequence': 'Just his fingers', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4146858751773834, 0.2491137683391571, 0.2066519409418106, 0.1295483410358429]}"
NA0023-PC,OKAY AND THEN WHAT HAPPENED,And then I started crying,"{'sequence': 'And then I started crying', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.6101180911064148, 0.19162322580814362, 0.13406315445899963, 0.06419552117586136]}"
NA0023-PC,HM-HM,And then he ran away,"{'sequence': 'And then I started crying. And then he ran away', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.585443913936615, 0.22064697742462158, 0.14128251373767853, 0.052626654505729675]}"
NA0023-PC,HE RAN AWAY,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0023-PC,OKAY SO YOU MENTIONED BEFORE THAT HE SAID HE HAD TO HELP YOU CAN YOU TELL ME MORE ABOUT THAT,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
